Kata,Noun,Verb
aba-aba,"arahan,instruksi,isyarat,kode,komando,perintah,petunjuk,seruan,suruhan,tanda,titah",,,
arahan,"bimbingan,firman,panduan,pedoman,pengarahan,pengawalan,perintah,petunjuk,pimpinan,sabda,suruhan,tuntunan,aba-aba,amanat,mandat,titah",,,
instruksi,"aba-aba,ajaran,amanat,amaran,arahan,komando,nasihat,perintah,pesan,titah,tugas,pedoman,pelatihan,pendidikan,petunjuk",,,
isyarat,"aba-aba,duaja,gestur,kode,sandi,sein,,semboyan,sinyal,tanda,alamat,gejala,gelagat,indikasi,pelebaya,pertanda,petunjuk,sasmita,semboyan,simtom,tanda-tanda,tengara",,,
kode,"aba-aba,duaja,isyarat,petunjuk,sandi,tanda,asas,aturan,etik,hukum,kaidah,ketentuan,norma,peraturan",,,
komando,"aba-aba,instruksi,perintah,suruhan,titah,mandat,order",,,
perintah,"aba-aba,amanat,amaran,arahan,instruksi,komando,mandat,order,rodi,suruhan,titah,tugas",,,
petunjuk,"alamat,bakat,gejala,gelagat,indikasi,isyarat,pertanda,sinyal,atribut,markah,rambu-rambu,tanda,aba-aba,bukti,bahan,ciri,data,fakta,informasi,keterangan,masukan,arah,kaidah,patokan,peraturan,preskripsi,arah,kompas,manual,panduan,pedoman,resep,tip,advis,ajaran,amanat,bimbingan,fatwa,nasihat,pengarahan,petuah,tuntunan,wejangan,bisikan,ilham,wahyu,wangsit",,,
seruan,"jeritan,laung,pekik,teriakan,ajakan,anjuran,imbauan,lambaian,,panggilan,permintaan,undangan",,,
suruhan,"aba-aba,amanat,amar,instruksi,komando,mandat,perintah,pesan,titah,tugas,cak,pesuruh",,,
tanda,"atribut,cap,ciri,ikon,karakter,kualitas,lambang,logo,markah,pengenal,rambu-rambu,sebut-sebutan,semboyan,simbol,semboyan,alamat,anggai,faal,fenomena,firasat,gejala,gelagat,indikasi,isyarat,petunjuk,pertanda,sem-boyan,sinyal,tengara,aba-aba,kode,sasxmita,alasan,alibi,bukti,burhan,dalil,hujah,jejak,kesaksian,kesan,keterangan,trek",,,
titah,"amanat,amar,firman,kata,perintah,sabda",,,
bimbingan,"panduan,pengarahan,petunjuk,pimpinan,tuntunan,edukasi,kursus,latihan,les,pelajaran,pendidikan,tuntunan,tutorial",,,
firman,"amaran,kalam,perintah,,perkataan,sabda,titah,tuturan,ucapan",,,
panduan,"arahan,bimbingan,pedoman,tip,buku,petunjuk,manual",,,
pedoman,"kompas,arahan,manual,panduan,petunjuk,tip,asas,dasar,kaidah,konvensi,norma,patokan,pegangan,pijakan,prinsip",,,
pengarahan,"advis,ajaran,amanat,bimbingan,fatwa,masukan,nasihat,petuah,petunjuk,taklimat,wejangan,konseling,penyuluhan",,,
pengawalan,"pemanduan,pencegahan,pengamatan,pengawasan,pengendalian,penguasaan,penjagaan,penyelenggaraan",,,
pimpinan,"arahan,bimbingan,didikan",,,
sabda,"arahan,bicara,cakap,ceramah,cerita,fatwa,firman,janji,kata,nasihat,omong,perintah,perkataan,petuah,petunjuk,suara,taklimat,titah,tutur,tuturan,ucapan,ujar",,,
tuntunan,"arahan,bimbingan,didikan",,,
amanat,"amar,arahan,instruksi,mandat,nasihat,peninggalan,perintah,permintaan,pesan,suruhan,titah,titipan,wasiat,wejangan,ajaran,keterangan,nasihat,pemberitahuan,petuah,hikmah,makna,moral,pelajaran",,,
mandat,"amanat,arahan,delegasi,instruksi,perintah",,,
ajaran,"advis,aliran,alitan,amanat,anjuran,anutan,fatwa,hukuman,ibarat,ideologi,ilham,keyakinan,masukan,mazhab,moral,paham,pandangan,panduan,pedoman,pemikiran,petuah,petunjuk,prinsip,pukulan,sekte,tuntunan,wahyu,wejangan,aksioma,asas,dalil,doktrin,hukum,kaidah,kanon,ketentuan",,,
nasihat,"advis,advokasi,ajakan,ajaran,amar,anjuran,fatwa,instruksi,kritik,panduan,pedoman,pendapat,pengarahan,pesanan,petuah,petunjuk,rembuk,saran,teguran,tuntunan,usul,usulan,wejangan,amanat,moral,pesan",,,
pesan,"catatan,memo,amaran,perintah,permintaan,suruhan,surat,amanat,petaruh,wasiat,weling,moral,nasihat,petuah,wejangan",,,
pelatihan,"penataran,pembibitan,training",,,
pendidikan,"bimbingan,didikan,edukasi,kuliah,kursus,pelajaran,pelatihan,pembelajaran,pemberadaban,pembibitan,pemeliharaan,pencerahan,pengajaran,pengasuhan,penggemblengan,penggodokan,sekolah,tarbiah,tuntunan",,,
duaja,"alam,bendera,kalimantang,liwa,panji-panji,pataka,standar,tunggul,umbul-umbul,aba-aba,anggai,isyarat,kode,petunjuk,tanda",,,
gestur,"isyarat,kial",,,
sandi,"isyarat,kode,rahasia,semboyan",,,
semboyan,"cogan,moto,pemeo,slogan,sandi,alamat,anggai,isyarat,sinyal,tanda",,,
sinyal,"lambang,simbol,tanda,alamat,bakat,faal,gejala,gelagat,indikasi,padahan,pelebaya,pertanda,petunjuk,riak,,semboyan,simptom,tanda-tanda,isyarat,kial",,,
alamat,"bakat,bibit,gejala,gelagat,gerak,indikasi,isyarat,naga-naga,pertanda,petunjuk,semboyan,sinyal,tanda,tarak-tarak,tengara",,,
alamat,"adres,domisili,kediaman,tem-pat,tinggal,korban,objek,sasaran,target,tujuan",,,
gejala,"fakta,fenomena,kenyataan,alamat,gelagat,indikasi,isyarat,naga-naga,pelebaya,pertanda,petunjuk,riak,simtom,sinyal,tanda-tanda",,,
gelagat,"alamat,bakat,firasat,gejala,indikasi,isyarat,naga-naga,pelebaya,pertanda,petunjuk,riak,simtom,sinyal,tanda-tanda,tengara,aksi,gerak-gerik,tingkah-laku",,,
indikasi,"alamat,bakat,faal,gejala,gelagat,isyarat,padahan,pelebaya,petunjuk,riak,,simpom,sinyal,tanda,tengara",,,
pelebaya,"algojo,alamat,gejala,gelagat,indikasi,isyarat,pertanda,petunjuk,sinyal,tanda-tanda",,,
pertanda,"algojo,pelebaya",,,
sasmita,"alamat,isyarat,tanda",,,
tengara,"alamat,gelagat,indikasi,isyarat,pertanda,petunjuk,tanda,sinyalemen",,,
asas,,,,
aturan,"adat,hukum,kaidah,kanun,ketentuan,metode,norma,patokan,peraturan,petunjuk,preskripsi,rel,,resam,sistem,susunan,tata,cara,tata,tertib,tatanan",,,
hukum,"adat,asas,dasar,kada,kaidah,kanun,kekuasaan,keputusan,ketentuan,ketetapan,lembaga,norma,patokan,per-aturan,perintah,prinsip,rasam,syairat,takdir,tiorem,undang-undang,yura",,,
kaidah,"ajaran,aksioma,asas,cara,hukum,kode,etik,konvensi,laku,langgam,norma,patokan,pedoman,pegangan,peraturan,petunjuk,prinsip,rel,,teori,acara,aturan,corak,gaya,jalan,juntrungan,lagak,lagam,lagu,metode,modus,order,pendirian,ragam,sistem,stelsel,susunan,tataan",,,
ketentuan,"determinasi,kepastian,keputusan,ketetapan,resolusi,keyakinan,garis,kadar,suratan,,takdir,tulisan,nasib,syarat,tuntutan",,,
norma,"adat,asas,aturan,cara,etika,hukum,kaidah,kebiasaan,ketentuan,konvensi,kultur,lagu,laku,langgam,metode,model,nilai,patokan,pedoman,pegangan,peraturan,pola,ragam,sistem,standar,susunan,tata,cara,tata,tertib,tolok,ukur,ukuran",,,
peraturan,"cara,gaya,kaidah,order,patokan,prinsip,reglemen,sistem,susunan,syarat,tata,tata,tertib,tatanan,anggaran,dasar,beleid,hukum,kanun,kebijakan,konstitusi,qanun,regulasi,sta-tuta,undang-undang",,,
order,"instruksi,perintah,rodi,pekerjaan,permintaan,pesanan,proyek",,,
rodi,"kerja,wajib,kerja,paksa,kerja,raya,kerah",,,
tugas,"darma,kewajiban,beban,peker-jaan,instruksi,perintah,suruhan,fungsi,peran",,,
bakat,"anugerah,fitrah,karunia,kebolehan,kemampuan,kodrat,talen,talenta,bekas,kesan,tanda-tanda,tikas,alamat,faal,gejala,gelagat,indikasi,isyarat,pertanda,petunjuk,sinyal,tanda-tanda",,,
atribut,"ciri,karakter,keunikan,petunjuk,sifat,tanda,cap,emblem,lambang,simbol,tanda,pengenal",,,
markah,"lambang,marka,petunjuk,rambu-rambu,simbol,tanda",,,
rambu-rambu,"gencel,jerambai,jumbai-jumbai,rumbai-rumbai,unting-unting",,,
bukti,"bahan,burhan,cena,ciri,data,fakta,informasi,kebenaran,kenyataan,kesaksian,keterangan,masukan,nas,petunjuk,tanda",,,
bahan,"bakal,benih,materi,pelajaran,subjek,alamat,bulan-bulanan,,incaran,objek,sasaran,target,tujuan,bukti,data,fakta,informasi,keterangan,masukan,petunjuk",,,
bahan,"congkong,pecahan,kayu,selumbar,serpihan,kayu,suban,tahi,ketam,tarahan,kayu,tatal,bumbu,ramuan,resep",,,
ciri,"atribut,bukti,cap,cena,identitas,individualitas,jati,diri,karakter,keistimewaan,kekhasan,kekhususan,keunikan,kualitas,petunjuk,sifat,stigma,tanda",,,
data,"bahan,bukti,evidensi,fakta,informasi,keterangan,masukan,petunjuk,statistik",,,
fakta,"alasan,bahan,bainah,bukti,burhan,cena,dalil,data,fenomena,gejala,hakikat,hujah,informasi,kebenaran,kenyataan,kesahihan,keterangan,masukan,petunjuk,realitas,saksi,tanda",,,
informasi,"penerangan,penjelasan,bahan,berita,data,embaran,fakta,kabar,keterangan,laporan,liputan,warta",,,
keterangan,"amanat,bahan,bukti,data,fakta,informasi,maklumat,masukan,pemberitahuan,petunjuk,tanda,definisi,eksplanasi,klarifikasi,penjelasan,syarah",,,
masukan,"advis,anjuran,bukti,data,fakta,fatwa,informasi,nasihat,pengarahan,petuah,petunjuk,wejangan",,,
arah,"cita-cita,hadap,haluan,jurusan,kiblat,kompas,mata,angin,niat,panduan,pedoman,petun-juk,aspek,faktor,orientasi,penjuru,pihak,sebelah,segi,sisi,sudut,tala,arti,juntrungan,maksud,tembak,ujung,pangkal",,,
patokan,"barometer,kriteria,parameter,standar,tolok,ukur,ukuran,asas,dasar,hukum,kaidah,konvensi,norma,pedoman,pegangan,peraturan,petunjuk,pijakan,prinsip",,,
preskripsi,"aturan,petunjuk,resep",,,
kompas,"arah,panduan,pedoman,petunjuk",,,
manual,"buku,petunjuk,panduan,pedoman,tip",,,
resep,"keterangan,kiat",,,
tip,"bayaran,imbalan,komisi,persen,upah",,,
tip,"manual,nasihat,panduan,pedoman,petunjuk",,,
fatwa,"advis,ajaran,amanat,ceramah,jawaban,khotbah,kuliah,masukan,nasihat,panduan,pedoman,penerangan,pengarahan,penjelasan,peringatan,petuah,petunjuk,pidato,pitawar,putusan,taklimat,wejangan",,,
petuah,"advis,ajaran,amanat,fatwa,masukan,nasihat,pengarahan,pesan,petunjuk,pitawat,wejangan",,,
bisikan,"kisikan,alai-belai,bujukan,godaan,rayuan,buah,pikiran,gagasan,ide,ilham,inspirasi,kata,hati",,,
ilham,"ajaran,petunjuk,wahi,wahyu,wangsit,bisikan,buah,pikiran,gagasan,ide,inspirasi,kata,hati,sempena,hati,gerak,hati,sempena,hati,suara,halus",,,
wahyu,"ajaran,ilham,nubuat,petunjuk,ramalan,tajali,tanzil,visiun,wahi,wangsit",,,
wangsit,"ilham,petunjuk,wahyu",,,
laung,"jerit,pekik,seruan,tempik,teriakan",,,
ajakan,"anggapan,anjuran,bujukan,imbauan,invitasi,jemputan,lambaian,nasihat,panggilan,permintaan,persuasi,propaganda,seruan,undangan,usul",,,
anjuran,"ajakan,bujukan,dorongan,imbauan,panggilan,permintaan,seruan,undangan,advis,nasihat,petuah,petunjuk,rekomendasi,saran,usul",,,
lambaian,"ki,ajakan,anjuran,imbauan,panggilan,permintaan,seruan,undangan",,,
panggilan,,"ajakan,anjuran,imbauan,lambaian,,permintaan,seruan,undangan,julukan,nama,sapaan,sebutan",,
permintaan,"ajakan,amanat,anjuran,aplikasi,desakan,doa,pengharapan,imbauan,klaim,lamaran,panggilan,permohonan,petisi,pinangan,pinta,rayuan,rekes,seruan,suruhan,tempahan,undangan",,,
undangan,"ajakan,invitasi,jemputan,pelawaan,uleman,anjuran,imbauan,lambaian,,panggilan,permintaan,seruan",,,
pesuruh,"abdi,benduan,bibi,budak,bujang,hamba,jongos,juru,kaki,kacung,kawula,khadam,pelayan,pembantu,pramuwisma,sahaya,tambi,barid,kurir,utusan",,,
